                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.4164,                 1.8567,                0.73975,                  1.037,                0.82173,                0.81304,                0.87875,                0.51136,                0.81563,                0.78821,                0.86098,                0.45353,                  1.491,                 2.0761,                0.83493,                 1.1791,               0.001514,               0.001514,               0.001514
                     68,                 1.4648,                 1.9119,                0.74853,                  1.053,                0.81564,                0.81369,                0.87835,                0.51214,                0.80954,                0.79652,                0.85842,                0.44751,                 1.4628,                 2.1117,                0.82698,                 1.1671,              0.0015005,              0.0015005,              0.0015005
                     69,                 1.4247,                 1.8957,                0.73225,                 1.0422,                0.81408,                0.81487,                0.87912,                0.51217,                0.80911,                0.80052,                0.86802,                0.45158,                 1.5008,                 2.1365,                0.84538,                 1.1834,              0.0014869,              0.0014869,              0.0014869
                     70,                 1.4133,                 1.8618,                0.71657,                 1.0317,                0.80721,                0.80361,                0.86854,                0.49846,                0.79638,                0.78325,                 0.8494,                 0.4296,                  1.462,                 2.1426,                0.89547,                 1.1682,              0.0014733,              0.0014733,              0.0014733
                     71,                 1.4076,                 1.8448,                0.73087,                 1.0352,                0.83305,                0.79825,                0.87719,                0.51102,                0.83029,                0.78864,                0.86551,                0.45754,                 1.4337,                 2.1223,                0.81596,                  1.155,              0.0014595,              0.0014595,              0.0014595
                     72,                    1.4,                 1.8254,                0.71412,                 1.0191,                0.82394,                0.81865,                0.88385,                0.51586,                0.82604,                0.78886,                0.86445,                0.45146,                 1.5023,                 2.1852,                0.85055,                 1.1865,              0.0014455,              0.0014455,              0.0014455
                     73,                 1.3954,                 1.8186,                0.71657,                  1.022,                0.83134,                 0.8098,                0.88018,                0.51225,                0.82077,                0.78897,                0.86134,                0.44131,                 1.4771,                 2.1852,                0.82913,                 1.1631,              0.0014315,              0.0014315,              0.0014315
                     74,                 1.4079,                 1.8499,                0.74233,                 1.0271,                0.84353,                0.78821,                0.87741,                0.50638,                0.83752,                0.77565,                0.86424,                0.44606,                 1.4972,                 2.1958,                0.83782,                 1.1883,              0.0014174,              0.0014174,              0.0014174
                     75,                 1.3905,                 1.8267,                0.71105,                 1.0141,                0.82339,                0.80721,                0.87948,                0.51375,                0.81299,                0.78837,                0.85962,                0.45167,                 1.4862,                 2.2207,                0.85682,                 1.1811,              0.0014032,              0.0014032,              0.0014032
                     76,                 1.3988,                   1.82,                0.71242,                 1.0259,                0.82556,                0.81801,                0.88309,                0.51219,                0.81434,                0.79836,                0.86191,                0.44847,                  1.494,                 2.1891,                0.88247,                 1.1697,              0.0013889,              0.0013889,              0.0013889
                     77,                 1.3959,                 1.8278,                0.71127,                 1.0349,                0.83113,                0.81284,                0.88338,                0.51542,                0.82827,                0.79404,                0.86656,                0.44958,                 1.4671,                 2.1284,                0.83354,                 1.1531,              0.0013744,              0.0013744,              0.0013744
                     78,                 1.4044,                 1.8268,                0.71888,                 1.0333,                0.82199,                0.80849,                0.87806,                0.50905,                0.81372,                0.79404,                0.86272,                0.44943,                 1.4682,                 2.1576,                0.84251,                 1.1657,              0.0013599,              0.0013599,              0.0013599
                     79,                 1.3987,                 1.8177,                0.70524,                 1.0247,                0.83006,                0.81628,                0.87989,                0.51677,                0.81797,                0.79188,                0.85764,                0.45132,                   1.45,                 2.1921,                0.86133,                 1.1686,              0.0013454,              0.0013454,              0.0013454
                     80,                 1.3998,                 1.8308,                0.71103,                 1.0376,                0.83402,                 0.8016,                0.87845,                0.50756,                0.83394,                0.77084,                0.86015,                0.44288,                 1.4847,                 2.2635,                0.90408,                 1.1774,              0.0013307,              0.0013307,              0.0013307
                     81,                 1.3801,                  1.805,                 0.6977,                 1.0402,                0.82963,                 0.8139,                0.88315,                0.51719,                0.82072,                0.80095,                0.87105,                0.45813,                 1.4656,                 2.1278,                0.82555,                 1.1684,              0.0013159,              0.0013159,              0.0013159
                     82,                 1.3964,                 1.8056,                0.71431,                 1.0292,                0.84016,                0.80332,                0.88325,                0.52048,                0.83116,                0.78886,                0.86529,                0.46254,                 1.5055,                 2.2633,                0.82934,                 1.1844,              0.0013011,              0.0013011,              0.0013011
                     83,                 1.3898,                 1.8081,                0.69955,                 1.0263,                0.84717,                0.78984,                0.88102,                0.51675,                0.84123,                0.77547,                0.86487,                0.44809,                 1.4548,                 2.2246,                0.85039,                  1.159,              0.0012862,              0.0012862,              0.0012862
                     84,                 1.3848,                 1.8134,                0.70774,                 1.0206,                0.84089,                0.81125,                0.88578,                0.51673,                0.83723,                0.78951,                0.86485,                0.44482,                 1.4109,                 2.0342,                0.79944,                  1.143,              0.0012712,              0.0012712,              0.0012712
                     85,                 1.3946,                 1.7976,                0.70664,                 1.0201,                0.83893,                0.80332,                0.88201,                0.51423,                0.82714,                 0.7867,                0.86451,                0.45859,                 1.5157,                 2.1969,                0.85828,                 1.1829,              0.0012562,              0.0012562,              0.0012562
                     86,                 1.3713,                 1.7868,                0.69497,                 1.0095,                0.82886,                0.81453,                0.88543,                 0.5151,                0.82182,                0.79857,                0.86907,                0.44893,                 1.4165,                 2.0602,                0.80936,                 1.1455,              0.0012411,              0.0012411,              0.0012411
                     87,                 1.3639,                 1.7748,                0.69153,                 1.0156,                0.82286,                0.81714,                0.88225,                0.51278,                0.81921,                0.78994,                0.86065,                0.44098,                 1.5322,                 2.0732,                0.84197,                 1.1958,               0.001226,               0.001226,               0.001226
                     88,                 1.3592,                  1.766,                0.69702,                 1.0169,                0.83095,                0.81002,                0.88062,                0.52033,                0.82327,                0.79145,                0.86431,                0.45784,                 1.4271,                 2.0755,                0.80889,                  1.146,              0.0012108,              0.0012108,              0.0012108
                     89,                 1.3398,                 1.7506,                0.68478,                  1.012,                0.84174,                 0.7908,                0.87719,                0.50988,                0.82901,                0.77768,                0.86006,                 0.4439,                 1.4926,                 2.1498,                 0.8998,                 1.1812,              0.0011955,              0.0011955,              0.0011955
                     90,                 1.3659,                 1.7806,                0.69145,                 1.0208,                0.83834,                0.80462,                0.88336,                0.51936,                0.83151,                0.78628,                0.86792,                0.46495,                 1.5289,                 2.2499,                0.90077,                 1.2106,              0.0011802,              0.0011802,              0.0011802
                     91,                  1.361,                 1.7708,                0.68967,                 1.0134,                0.83317,                0.81973,                0.88876,                0.52389,                0.82558,                 0.8073,                0.87788,                0.47167,                 1.5067,                 2.1061,                0.82092,                 1.1903,              0.0011649,              0.0011649,              0.0011649
                     92,                 1.3629,                 1.7804,                0.69001,                 1.0145,                0.84076,                0.80699,                0.88517,                0.52034,                0.83012,                0.79332,                0.86944,                0.45627,                 1.4407,                 2.0509,                 0.8261,                 1.1506,              0.0011495,              0.0011495,              0.0011495
                     93,                 1.3599,                 1.7768,                0.68844,                 1.0142,                0.83037,                0.82211,                0.88784,                0.52077,                0.82271,                0.80354,                0.87218,                0.46574,                 1.4507,                 2.1604,                0.82549,                 1.1551,              0.0011341,              0.0011341,              0.0011341
                     94,                 1.3573,                 1.7692,                0.68044,                 1.0192,                0.82782,                0.81483,                0.88128,                0.51561,                0.82429,                0.79793,                0.87031,                0.46828,                 1.4552,                 2.1108,                0.84322,                 1.1494,              0.0011186,              0.0011186,              0.0011186
                     95,                 1.3418,                 1.7515,                 0.6785,                  1.011,                0.84291,                0.80509,                0.88413,                0.51793,                0.83573,                0.79188,                0.87058,                0.45483,                 1.4692,                 2.1222,                0.82276,                 1.1712,              0.0011032,              0.0011032,              0.0011032
                     96,                 1.3429,                 1.7321,                0.67174,                 1.0139,                0.84113,                0.81153,                0.88646,                0.51333,                0.83343,                0.78638,                0.86419,                0.44328,                 1.4354,                 2.0642,                  0.798,                 1.1511,              0.0010877,              0.0010877,              0.0010877
                     97,                 1.3415,                 1.7401,                0.67061,                 1.0143,                0.82525,                0.81239,                0.88022,                0.51615,                0.82875,                0.78254,                0.86317,                0.45313,                 1.4603,                 2.1301,                0.86237,                 1.1705,              0.0010722,              0.0010722,              0.0010722
