                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.4863,                  1.994,                0.80424,                 1.0539,                0.82994,                0.79965,                0.87384,                0.50774,                0.81494,                0.78649,                0.85845,                0.45046,                 1.5021,                 2.1444,                0.86322,                 1.1594,              0.0017209,              0.0017209,              0.0017209
                     51,                 1.4543,                 1.9461,                 0.7826,                 1.0352,                0.81553,                 0.7798,                0.86236,                0.48217,                0.81415,                0.75216,                0.84624,                0.42076,                 1.5597,                 2.2033,                0.87422,                 1.1796,                0.00171,                0.00171,                0.00171
                     52,                 1.4477,                 1.9449,                0.77263,                 1.0258,                0.81913,                0.75993,                0.85088,                0.48603,                0.81507,                0.73932,                0.83413,                0.43388,                 1.5309,                 2.1946,                0.87507,                 1.1829,               0.001699,               0.001699,               0.001699
                     53,                 1.4784,                 1.9799,                0.79258,                 1.0499,                0.81664,                0.79808,                0.86599,                0.49453,                0.80682,                0.78354,                 0.8511,                 0.4459,                 1.4962,                 2.1874,                0.85955,                 1.1623,              0.0016877,              0.0016877,              0.0016877
                     54,                 1.4647,                 1.9455,                 0.7762,                 1.0424,                0.81344,                0.78977,                0.86343,                0.49448,                0.82132,                 0.7681,                0.84893,                0.43289,                 1.5053,                  2.153,                0.88232,                 1.1677,              0.0016763,              0.0016763,              0.0016763
                     55,                 1.4604,                 1.9357,                0.77592,                  1.041,                0.80987,                0.79836,                0.85722,                 0.4738,                0.79686,                0.78605,                0.84087,                0.41702,                 1.5393,                 2.2202,                0.92984,                 1.1829,              0.0016647,              0.0016647,              0.0016647
                     56,                 1.4674,                 1.9432,                0.78688,                 1.0402,                0.82092,                0.78217,                0.86133,                0.49237,                0.81439,                0.76822,                0.84424,                0.44385,                 1.5104,                 2.1698,                0.88116,                  1.171,               0.001653,               0.001653,               0.001653
                     57,                 1.4555,                 1.9417,                0.78247,                 1.0446,                0.81384,                0.78998,                0.86455,                0.49939,                0.80639,                0.77483,                0.84639,                0.44533,                 1.4823,                 2.1249,                0.89532,                 1.1572,               0.001641,               0.001641,               0.001641
                     58,                 1.4383,                 1.9153,                0.77037,                 1.0281,                0.82163,                0.78195,                0.86373,                0.49366,                0.81895,                0.76015,                0.84461,                0.43223,                 1.5365,                  2.155,                0.88018,                 1.1785,               0.001629,               0.001629,               0.001629
                     59,                 1.4827,                 1.9614,                0.78139,                 1.0501,                0.82284,                0.77612,                0.86816,                0.49745,                0.82609,                0.75993,                0.85497,                0.43281,                 1.5422,                 2.1696,                0.92728,                 1.1861,              0.0016168,              0.0016168,              0.0016168
